"序號",標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-11,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Merry,跟上美國 謝謝,2024-05-08 08:55:30,其他想法,104,2
M-12,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,瑞咪,寵物是生命！不是行李！看看一些先進國家對於動物這個生命的尊重，台灣真的落後太多！所謂的人情味，是不限於只有對人，而是所有生命！！,2024-05-08 14:55:36,其他想法,126,2
M-13,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,使用者已自行刪除留言,2024-05-08 15:01:53,其他想法,1,0
M-14,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Ocean,"住在外島真的需要航空公司開放寵物上客艙! 我的狗狗是大狗, 每次要返回老家, 真的很心煩, 心痛! 狗狗貓貓不是動物, 是最親近的家人!! 沒有人可以讓家人坐在貨艙內! 活生生的生命在貨艙內, 若您看過真實的運送影片, 真的是慘不忍睹!! 感謝有這個提議! 請一定要通過5000人!!! 政府與航空公司請大家別再漠視每一個無辜的生命了!",2024-05-09 02:50:58,其他想法,73,2
M-15,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Josette,溫暖可愛的毛小孩是我們的家人，他們絕不是可以輕易當成行李的生命！關在貨艙對他們的心理生理都有極大的影響，相信只要有良好的規範，我們絕對會好好遵守毛小孩在機上的所有行為，為的只有讓他們能夠有尊嚴地跟我們坐在一起，而不是感覺自己跟其他狗被丟棄在陌生空間。,2024-05-09 19:34:47,其他想法,72,2
M-16,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,李佳宸,"要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。
✊ 就支持👌",2024-05-12 01:31:16,其他想法,62,1
M-17,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,"候選人須提出政見完成度及未完成原因及改進方式
https://join.gov.tw/idea/detail/c25d7466-72c9-4f90-9d88-7e3753a24a58",2024-05-12 14:23:54,其他想法,1,0
M-18,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,湘,"毛孩比嬰幼兒還好控制，還乖巧
他是一個生命，不是行李
請讓毛孩可以跟主人一起坐客艙",2024-05-12 14:36:27,其他想法,122,2
M-19,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Eric,寵物是毛小孩、是寶貴的生命、是家人，絕不應該被當成行李托運，而獨自承受風險極高的貨艙惡劣環境。寵物之所以稱為毛小孩，就是如同家中小孩的存在，制度必須與時俱進，改正過往仍視動物為物品的老舊觀念。,2024-05-14 00:06:57,其他想法,60,2
M-20,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,davidlee,非常同意，歐美國家寵物都可以上飛機，台灣作為一個先進國家，應該跟進！,2024-05-14 09:07:20,其他想法,60,2
M-21,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,紅豆兒,支持寵物可以上飛機同行，小孩如果緊張又被帶離開父母身邊那種驚恐，不是一般人可以想像。,2024-05-14 12:38:47,其他想法,61,2
M-22,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,咖啡草莓牛奶,寵物是家人，不是一件行李,2024-05-14 13:24:40,其他想法,61,1
M-23,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,丁丁,我舉雙手贊成！毛孩是我們的家人，也是家裡的一分子，也是有生命的不應該像物品一樣放置貨倉,2024-05-15 17:33:42,其他想法,59,2
M-24,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,阿玉,"會附議的是不是完全沒有經過思考啊？
想也知道這種東西不可能過關
你們就繼續自嗨好了
眼光這麼狹隘
愛貓狗愛到成痴",2024-05-17 10:59:20,其他想法,2,76
M-25,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,阿呆,此留言正在等待審核中,2024-05-17 19:58:13,贊成論點,2,136
M-26,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Yen,支持提案,2024-05-20 12:56:28,其他想法,55,2
M-27,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Jeff,"他是我的家人我的寶貝。寵物不是貨物他有生命。希望政府不要只把毛孩當做選舉武器。應該拿出實際行動爲毛孩爭取福利保障毛孩的生命安全並與先進國家並進提升國民素養。讓毛孩上客艙！
不要再讓毛孩受罪了！！",2024-05-21 11:18:40,其他想法,72,2
M-28,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-05-24 21:14:30,其他想法,0,0
M-29,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Sunny,"寵物在運輸籠不要上運輸帶很危險，親自交給主人，尊重一條生命。
加開友善寵物班機，在貨倉有開放冷氣才不造成悶熱死。
寵物能跟主人一起搭乘比照高鐵捷運火車。
開發航空寵物友善客機能跟有養寵物的人一起搭乘（寵物跟主人搭乘）。
台灣還不善完全對動物友善，希望能尊重一條生命。
動物短短幾十年人類長壽一輩子，能好好善待動物。",2024-05-26 15:12:40,其他想法,45,1
M-30,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,幕幕,"1-1.讓對動物敏感的乘客有選擇與寵物分開的座位:(請問這是屬於哪個位置的分開?經濟?商務?VIP艙?)
1-2在航班時刻表內標示出寵物友善班機:(如果我有毛過敏但得搭這班呢?)
1-3標示出搭機乘客可以提前登機以避開與寵物接觸的時間(一般民眾萬一沒有辦法或是沒有想法提早登機呢 下飛機就可以優先走嗎?)
三方會談的用意很好但是
Q所有不同類型寵物飼主能接受航空公司因消毒清潔及用餐環境的旅行費增加或是強制升級為特定艙的方案嗎?
或是班機接近為晚去早回形式?
Q請問所有不同類型寵物飼主針對寵物是統一採用 關籠還是會讓牠出來活動?
Q請問所有不同類型寵物飼主如何證明寵物已完成行為訓練?

我是鳥類飼主對於鳥寶我均採用開放活動所以難以管制 
我無法提供相關證明 且不會希望帶寵物而增加旅途費用",2024-05-27 13:31:50,贊成論點,7,63
M-31,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,SSS,"支持寵物客艙登機權✈️ 
尊重生命、平等對待",2024-05-28 16:28:29,其他想法,31,2
M-32,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,養豬人,以後我就帶鱷魚、蟒蛇、蜘蛛、烏龜上飛機，還是說你的提議是針對有毛的寵物?,2024-05-30 16:36:36,贊成論點,5,51
M-33,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-05-30 20:47:48,贊成論點,0,0
M-34,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,白雪,加了2次都沒成功，希望儘速通過提案，寵物是家人！,2024-06-01 03:42:16,其他想法,23,2
M-35,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,毛毛,強烈建議航空公司設立更多寵物友善班機，允許更多符合規定的寵物上客艙，與主人一起安全舒適地旅行。這不僅能提高我們這些寵物飼主的滿意度，還能吸引更多愛寵旅客選擇貴公司的航班。,2024-06-04 20:22:53,其他想法,19,2
M-36,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,JHOU,貓貓 狗狗是有生命的 是人類最好的朋友 必須友善對待,2024-06-04 21:14:56,其他想法,16,2
M-37,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Nancy,狗狗是家人不是貨物 請尊重生命 跟上美國 謝謝🙏,2024-06-05 01:06:27,其他想法,16,2
M-38,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-06-05 21:26:02,其他想法,5,1
M-39,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Mimi,寵物是生命等同家人對待,2024-06-07 01:39:39,其他想法,15,2
M-40,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Jiali,毛孩不是行李，是我們的家人，要求台灣政府修訂航空條例，讓毛孩可以跟我們一起安心搭機,2024-06-09 11:36:30,其他想法,12,2
M-41,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,蘇菲,寵物友善不是選舉的口號。航空業者高層請務必重視寵物友善班機是個大商機。,2024-06-10 14:56:01,其他想法,14,2
M-42,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,"總統大選前 看到賴蕭正副總統的競選政見裡 有相關動物保護及毛孩福利的媒體政見 等，非常棒，所以很支持。願說到做到👍I believe 
100%🌹感恩💕
毛孩是我的家人，我們要一起坐客艙去旅行。🐾🗽✈️",2024-06-10 23:02:27,其他想法,10,1
M-43,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,李琪琪,毛孩不是貨物，是生命,2024-06-12 18:27:22,其他想法,10,2
M-44,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Winnie,寵物就跟我們的孩子一樣，應該得到應有的照顧和陪伴，旅遊也是一樣,2024-06-13 09:43:31,其他想法,9,2
M-45,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,獸醫師,有意思，但寵物的福利不是無限上綱的，要馬就是寵物友善專機，包機費用使用者付費，一般客機要貓狗跟人一起搭機，沒事就沒事，萬一造成別人的困擾，可以拒載嗎？不能自私的只想自己。,2024-06-13 12:49:05,贊成論點,5,22
M-46,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,芝,搞這乾嘛？自己集資開一間航空公司直接主打寵物寵物班機不就好了？憑什麼要求民營公司去配合你們恐龍飼主？,2024-06-14 11:47:10,贊成論點,2,18
M-47,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,JPW,"那寵物要不要買票?
我覺得佔位置的話是要的，用錢買位子是合理的",2024-06-14 17:59:30,贊成論點,3,2
M-48,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Kris,增加空服員工作滿足度會不會太瞎掰了....還有增加旅客互動？現行如果狗是服務行動物本來就能進入客艙。如果要開放的是一般寵物，根本難以控管訓練程度。,2024-06-14 23:57:13,贊成論點,4,12
M-49,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-06-15 16:38:54,贊成論點,0,0
M-50,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Cecilia,寵物是家人，支持修訂,2024-06-15 23:05:22,其他想法,6,1
M-51,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,S,我養的是獅子能帶上去嗎~他有毛喔~也是四隻腳~貓科動物,2024-06-15 23:30:54,贊成論點,2,16
M-52,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,SunnyJeng,"平常有在關注寵物社團的，應該都很清楚，台灣關於伴侶型動物的法規太過隨便，飼主責任感普遍落後，問問周邊養寵物的飼主，有幾個上過課就知道了。想要享受別人有的待遇，先提升國民水準再說吧...
最好的做法，就是寵物在機艙未被妥善控制，飼主依影響飛行安全辦理；在機艙內產生排泄物，飼主必須支付一個機位的全票價格做為清潔費用，整理機艙已經很辛苦了，到時候又要處理毛孩的排泄物，增加勤務人員的工作量。",2024-06-16 02:54:40,其他想法,2,4
M-53,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,妮媽,毛孩也是家人，相信家長們願意付費用讓孩子跟自己坐在一起，不是一個人待在無空調、暗暗的貨倉裡,2024-06-16 08:52:11,其他想法,5,1
M-54,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Kris,修法制定或許是漫漫長路，但如果沒有付出任何努力就去為了未知的障礙而停滯不前，那就沒有任何機會看見改變。對於毛小孩，主人就是等同於他的全世界，希望能為這些如同家人般的夥伴盡一份心力🩷,2024-06-16 11:33:18,其他想法,4,1
M-55,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,姜芳兒,尊重寵物生命權，並且比照歐美國家，開放寵物登機，並與主人同客艙。,2024-06-16 15:36:08,其他想法,4,1
M-56,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,可以集中到特定航班就好了,支持集中在某個航班，想搭的就搭。不要影響到一般人。光小孩吵就算了還要狗狗貓貓，何況如果跑出來影響飛安要怎麼辦。愛寵物就要陪在他們身邊，除非真的是要外出工作，別想著帶寵物跑來跑去導致牠們的情緒更不安定。說來說去帶出國還不是自己的私慾嗎？有問過寵物？,2024-06-17 08:43:12,其他想法,2,4
M-57,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Audrey,"持贊成立場，國外早就行之有年
但要規劃好分區規範，也事先做好加價機制
當然只舉限於貓狗或兔子，而且必須做好檢驗
鳥禽類、爬蟲類特殊動物都不OK
還有人說他有養獅子的，試問台灣是隨便可以讓人養獅子的嗎?
不切實際的反對跟為反對而反對的話就不用再說了!",2024-06-17 12:43:12,其他想法,6,1
M-58,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Tzujung wu,贊成,2024-06-17 14:16:57,其他想法,4,1
M-59,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Jenny,"毛孩是家人
不是物品",2024-06-17 14:19:05,其他想法,4,1
M-60,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,海海人生,對生命的愛護是很好的，但是要執行也要有好的解決方案，不是說只有改條例而已，能提出方案內容才是更改法令最好的條件，而不是一股腦的附譯,2024-06-17 17:40:44,其他想法,4,1
M-61,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Angelica Wang,wholeheartedly endorse,2024-06-17 18:18:38,其他想法,4,1
M-62,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,小潔,贊成,2024-06-18 09:33:37,其他想法,5,1
M-63,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Joanne,✅贊成！寵物就像家人，密不可分！！,2024-06-18 19:39:36,其他想法,6,1
M-64,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,晚安瑪卡巴卡,"笑死這裡跟其他地方風向完全相反
一堆人嘴裡喊著尊重生命啊、寵物是家人啊之類的
但我整排看下來，好像沒人說過願意多買一個位子或者多付錢?",2024-06-19 10:43:24,贊成論點,3,11
M-65,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,珮,生命不該被輕視,2024-06-19 12:14:24,其他想法,6,1
M-66,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,玉米,提倡貓狗可進客艙,2024-06-19 12:32:41,其他想法,5,3
M-67,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,社會人士,"貓狗如果很吵或亂大小便你要負責嗎

為何要全飛機的人共同承擔

就不要帶動物上飛機不就好了

重點就一句話，為何要全體乘客都要承擔你動物上飛機的風險
疾病和吵鬧那些

你有想過有些人很累要睡覺嗎，你動物吵的時候你能控制嗎
你根本無法負起任何責任

發起人真的很自私",2024-06-19 16:06:17,贊成論點,3,4
M-68,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,建議改善,確保寵物安全,2024-06-21 12:46:06,贊成論點,5,0
M-69,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,小白,"支持你的想法，但也必須在其他乘客之間取得平衡點，我們飼主不會過敏、排斥不代表其他客人就得接受。

以及寵物概括哪些種類? 我養過的寵物有狗、貓、還有爬蟲，爬蟲還包刮了蜘蛛、烏龜，當然我自己接觸的是蜥蜴。

畢竟每個人對寵物的定義不同。但這提案如果只支持貓、狗，基於我也是飼主的立場，我個人是不太支持了

#我也有養六隻貓",2024-06-23 08:47:01,贊成論點,1,4
M-70,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,此留言正在等待審核中,2024-06-27 00:00:09,贊成論點,0,1
M-71,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,sheep,"增加空服員工作滿足度？請問是有問過空服員嗎？
未經訓練的小孩可以改坐貨倉嗎",2024-06-28 10:06:04,贊成論點,3,4
M-72,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,非非,提升空服員工作滿足度和增加旅客互動，請問有考慮過不喜歡寵物及對寵物毛髮過敏的人嗎？想不出理由不用硬講！另外如果需要一個活動空間，把寵物當成家人的你們，願意多付幾個座位的費用嗎？,2024-06-28 10:18:26,贊成論點,2,4
